答案	模型預測	內文
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我的憤怒都是為了讓我跳脫舊有慣性 讓我找尋新的方法突破	0.4894864857196808 0.47654980421066284 0.6066690683364868 0.5767205357551575 0.4091707766056061
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我的激動都是因為我對於生命有無限熱情 我太熱愛我的生命了！	0.49240028858184814 0.4642728567123413 0.6053892970085144 0.5825299024581909 0.416818767786026
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	別人的話語讓我憤怒都是為了提醒我 我又將目光放到別人身上了 要把自己的注意力放回自己心上 不要再一直關照別人啦！	0.48729008436203003 0.46062859892845154 0.6237391829490662 0.579218327999115 0.41399914026260376
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我的憤怒如此美好！樣的憤怒充滿著無限創化力更動能啊！	0.49545159935951233 0.47310832142829895 0.6213651299476624 0.5754632353782654 0.42207419872283936
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我都是平常心	0.49014464020729065 0.49176621437072754 0.6052805781364441 0.5813721418380737 0.4402756989002228
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我安於現狀	0.47784852981567383 0.4815766215324402 0.6232131719589233 0.577032744884491 0.4466214179992676
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	其實我不在意	0.4924847483634949 0.4985761046409607 0.6173075437545776 0.5883062481880188 0.4492330253124237
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	其實我不在意	0.4924847483634949 0.4985761046409607 0.6173075437545776 0.5883062481880188 0.4492330253124237
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我平常心	0.4705953001976013 0.4919631779193878 0.6185457706451416 0.5914491415023804 0.4283882677555084
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我我安於現狀	0.4992099404335022 0.4852387607097626 0.627668559551239 0.5810296535491943 0.45168834924697876
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我是個做事認真的人 總是全力以赴 不會馬虎。	0.47544434666633606 0.4545857906341553 0.6001527905464172 0.5667992234230042 0.4250723719596863
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	對方案 應有全盤全面的了解才開始進行。	0.4659423530101776 0.46098026633262634 0.6153929233551025 0.5903001427650452 0.4281768500804901
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	半途而廢 也可以叫做多方嘗試 與同年齡的相比 你的體驗多上許多。	0.4741782546043396 0.4667966365814209 0.6210607290267944 0.5710256099700928 0.43664613366127014
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	而走了一半的路 也是讓你趁早認清「什麼適合你？什麼不適合？」	0.47814226150512695 0.48034486174583435 0.6011620759963989 0.5513493418693542 0.425460547208786
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	無論你走了多少 肯定在你身上留下了寶貴的經驗。	0.4897085726261139 0.481082022190094 0.6270213723182678 0.5750152468681335 0.43203359842300415
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	而現在的你 有著運動員的精神、對電腦軟體輕鬆上手的天份、旅行家的膽試、行銷企劃的靈巧思維	0.4809677302837372 0.47144821286201477 0.6260243058204651 0.5708067417144775 0.42034074664115906
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	我明白自己的不安與恐懼後 我試圖在種感覺發生時 告訴自己要站在他人位置思考他會有何感想	0.4828338325023651 0.4726908504962921 0.6143777370452881 0.5608710050582886 0.42916736006736755
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	我把敏感的特質當作觀察他人的隱形工具 樣不易顯現出敏感帶來的負面情緒	0.48396602272987366 0.4621046185493469 0.6181973814964294 0.5667579770088196 0.42393025755882263
[0, 0, 0, 1, 1]	[0, 0, 1, 1, 0]	我在每一次責罵自己前會先靜下來深呼吸思考	0.47428444027900696 0.47330066561698914 0.6157622337341309 0.5849367380142212 0.44004136323928833
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	在意識到自己的不安與控制慾 在下一次想要去命令他人時我學會去告訴自己不要管麼多	0.48290741443634033 0.4660707414150238 0.6058813333511353 0.5689272284507751 0.42548730969429016
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我是個重感情的人	0.4844960868358612 0.4451483488082886 0.6193715929985046 0.5651063323020935 0.422145813703537
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我能包容任何聲音	0.479339599609375 0.4831163287162781 0.6348475813865662 0.564629077911377 0.4653332531452179
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我也需要人陪伴	0.4907410740852356 0.47885212302207947 0.6245898604393005 0.5621211528778076 0.4431905448436737
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我想找一個不嘮叨的人陪我整理雜物	0.4830484688282013 0.4676820933818817 0.6080151796340942 0.5577452778816223 0.4287574589252472
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我必須清楚且堅定的表達我的意見與立場 學習試著放手讓團隊運行 相信一切都是宇宙最好的安排	0.4797198176383972 0.461087703704834 0.6169419884681702 0.5698365569114685 0.42849797010421753
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	因為樣會很多技能而且是很有效率的完成	0.4859214723110199 0.4575754404067993 0.6033107042312622 0.5718843936920166 0.43099546432495117
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	表是我已經和自己在内心對話很多···我希望自己的語言能量 可以讓人覺得幸福和喜悅。我同理也重視與人連結的關係	0.48403432965278625 0.4615907073020935 0.6154280304908752 0.5629844665527344 0.42869675159454346
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	樣的性格讓我的心更能安靜和自己獨處。也有更多時間可以精進金工的學習於過程中累積豐富的經驗。	0.4839623272418976 0.4465046525001526 0.6298092007637024 0.5720933079719543 0.43492764234542847
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	我是善於思考的 在參加心靈課和成長課程時 可以接納更多未知領域的交流 與內在多元特質的融合。	0.485135942697525 0.463813453912735 0.6257806420326233 0.5662997961044312 0.428475946187973
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	透過因果關係的觀察 發現曾經我也樣對待同事人 只是現在角色互換 ㄧ來覺得因果循環該是要承受的就收下吧 未來待人還需更加溫和些。	0.4877469837665558 0.4509158730506897 0.6222992539405823 0.5614621043205261 0.4276326596736908
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	知道眼前的事件 是因緣條件組合而成 緣聚則現 緣散則滅。	0.4798395037651062 0.455679327249527 0.6038656234741211 0.5811695456504822 0.41847294569015503
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	知道每個人的大腦模式不同 心之所向也不同 且面對衝突的反應也不同 當然就會產生不可預期的狀態。	0.4848262369632721 0.4621078670024872 0.6228600144386292 0.5682920813560486 0.4404068887233734
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	透過心存善念面對當下情境 用眼耳鼻舌身意等六門的觸或轉換 快速調整心境。	0.4823305606842041 0.46749579906463623 0.6229832768440247 0.5764878392219543 0.4234863519668579
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	回到每個事件的衝突點 關心內在 讓自己得到同理心的慰撫。	0.47166651487350464 0.45363855361938477 0.6058927178382874 0.5898140668869019 0.441724956035614
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	好像建立起能力很強的自己 又培養起療癒自己的功夫。	0.47694751620292664 0.4580700397491455 0.619758665561676 0.5581527948379517 0.44601085782051086
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	加強自己的專業穩固信心	0.48762181401252747 0.46490374207496643 0.6290926933288574 0.591116189956665 0.4403843283653259
